developer,Installs,Avg_Rating,inv_Global_rank,containsAds,Comment_reply,Counts
Lyrebird Studio,0.03543307086614173,0.4896907216494846,0.007188929355356904,1.0,0.09127789046653144,2.0
WhatsApp Inc.,1.0,0.33505154639175316,0.014573954055970582,0.0,0.0,2.0
Glu,0.025590551181102362,0.5257731958762886,0.007958587398373986,1.0,0.0,2.0
LOTUM GmbH,0.015748031496062992,0.608247422680412,0.0036329702919670713,1.0,0.0,2.0
Tencent Games,0.03543307086614173,0.412371134020618,0.0261109571322986,1.0,0.2129817444219067,2.0
VideoShow EnjoyMobi Video Editor & Video Maker Inc,0.025590551181102362,0.6907216494845363,0.01879372282094914,1.0,0.04056795131845842,2.0
Meitu (China) Limited,0.025590551181102362,0.536082474226804,0.00677707220859191,1.0,0.0,2.0
LINE Corporation,0.11417322834645668,0.3453608247422677,0.02753467240554759,1.0,0.0,2.0
RobTop Games,0.025590551181102362,0.5309278350515463,0.012115932847640166,1.0,0.0,2.0
Mail.Ru Group,0.015748031496062992,0.6546391752577323,0.006715111398901602,1.0,0.6237322515212982,2.0
Soner Kara,0.03543307086614173,0.6030927835051552,0.0550366845131866,1.0,0.0,2.0
MWM - Free music and audio apps for Android,0.015748031496062992,0.6082474226804111,0.0025960389935652944,1.0,0.12373225152129817,2.0
Socialpoint,0.025590551181102362,0.6443298969072169,0.025883055440723904,1.0,0.0,2.0
Easybrain,0.015748031496062992,0.572164948453608,0.0019261540738274262,1.0,0.3620689655172414,2.0
Ubisoft Entertainment,0.025590551181102362,0.5463917525773203,0.01158906134515891,1.0,0.19878296146044624,2.0
AVG Mobile,0.025590551181102362,0.731958762886598,0.023435983696706998,1.0,0.12068965517241378,2.0
UCWeb Singapore Pte. Ltd.,0.11417322834645668,0.28865979381443374,0.018043237250554324,1.0,0.3772819472616633,2.0
TerranDroid,0.03543307086614173,0.412371134020618,0.002716494945379049,1.0,0.0,2.0
Adobe,0.11417322834645668,0.6546391752577323,0.04102211255575591,0.0,0.0486815415821501,2.0
FDG Entertainment GmbH & Co.KG,0.03543307086614173,0.5670103092783503,0.01826477646927499,1.0,0.0,2.0
ONESOFT,0.015748031496062992,0.7268041237113403,0.009961773382640132,1.0,0.40872210953346855,2.0
Halfbrick Studios,0.03543307086614173,0.5257731958762886,0.026929421468127726,1.0,0.2870182555780933,2.0
BIGO TECHNOLOGY PTE. LTD.,0.03543307086614173,0.5567010309278349,0.0271694043471047,0.0,0.3438133874239351,2.0
Simple Design Ltd.,0.025590551181102362,0.9432989690721651,0.04302714398111723,1.0,0.056795131845841784,2.0
Peak,0.015748031496062992,0.7268041237113403,0.01811674722669778,0.0,0.0,2.0
Perfect Mobile Corp.,0.03543307086614173,0.6494845360824746,0.028930980799169698,1.0,0.011156186612576065,2.0
Avast Software,0.025590551181102362,0.7268041237113394,0.02208741396876885,1.0,0.13488843813387424,2.0
"SNOW, Inc.",0.11417322834645668,0.4329896907216497,0.016242716075229424,0.0,0.0,2.0
NEKKI,0.03543307086614173,0.6134020618556697,0.04211833785004517,1.0,0.0,2.0
Flipboard,0.19291338582677167,0.231958762886598,0.012263378230797234,1.0,0.41683569979716023,2.0
First Touch Games Ltd.,0.03543307086614173,0.4329896907216497,0.03294573643410853,1.0,0.0,2.0
ANT+,0.3897637795275591,0.05670103092783485,0.009087935706943277,0.0,0.0,2.0
HP Inc.,0.29133858267716534,0.43814432989690744,0.05821718931475029,0.0,0.03144016227180527,2.0
Leap Fitness Group,0.015748031496062992,0.9123711340206189,0.024674239893083864,1.0,0.0537525354969574,2.0
Fingersoft,0.11417322834645668,0.4948453608247423,0.04080796621919708,1.0,0.0,2.0
Imangi Studios,0.11417322834645668,0.2989690721649483,0.012973865370837619,1.0,0.02332657200811359,2.0
Alibaba Mobile,0.025590551181102362,0.6494845360824746,0.014869052379048384,0.0,0.0,2.0
Fun Games For Free,0.025590551181102362,0.5360824742268049,0.011037815004484565,1.0,0.0,2.0
Opera,0.03543307086614173,0.5824742268041234,0.034068912117692605,1.0,0.012170385395537525,2.0
Shalltry Group,0.015748031496062992,0.6855670103092786,0.005143690591066893,1.0,0.02332657200811359,2.0
